title,genres
Jonah Hex,"Action,Western,Drama,Fantasy,Thriller"
Courage Under Fire,"Drama,Thriller,Mystery,War"
Liar Liar,"C,o,m,e,d,y"
The Infiltrator,"Crime,Drama,Thriller"
Inchon,"Drama,History,War"
The Flintstones,"Fantasy,Comedy,Family"
Taken 2,"Action,Crime,Thriller"
Scary Movie 3,"C,o,m,e,d,y"
Miss Congeniality,"Comedy,Crime,Action"
Journey to the Center of the Earth,"Action,Science Fiction,Adventure,Comedy,Family"
The Princess Diaries 2: Royal Engagement,"Comedy,Drama,Family,Romance"
The Pelican Brief,"Drama,Mystery,Thriller,Crime"
The Client,"Drama,Thriller,Crime,Mystery"
The Bucket List,"Drama,Comedy"
Patriot Games,"Drama,Action,Thriller,Crime"
Monster-in-Law,"Romance,Comedy"
Prisoners,"Drama,Thriller,Crime"
Training Day,"Action,Crime,Drama,Thriller"
Galaxy Quest,"Comedy,Family,Science Fiction"
Scary Movie 2,"C,o,m,e,d,y"
The Muppets,"Comedy,Family,Music"
Blade,"Horror,Action"
Coach Carter,"D,r,a,m,a"
Changing Lanes,"Action,Adventure,Crime,Thriller"
Anaconda,"Adventure,Horror,Thriller"
Coyote Ugly,"C,o,m,e,d,y"
Love Actually,"Comedy,Romance,Drama"
A Bug's Life,"Adventure,Animation,Comedy,Family"
From Hell,"Horror,Mystery,Thriller"
The Specialist,"Action,Thriller"
Tin Cup,"Comedy,Drama,Romance"
"Yours, Mine and Ours","Comedy,Drama,Family"
Kicking & Screaming,"Romance,Comedy,Family"
The Hitchhiker's Guide to the Galaxy,"Adventure,Comedy,Family,Science Fiction"
Fat Albert,"Comedy,Drama,Family"
Resident Evil: Extinction,"Horror,Action,Science Fiction"
Blended,"C,o,m,e,d,y"
Last Holiday,"Adventure,Comedy,Drama"
The River Wild,"Action,Adventure,Crime,Thriller"
The Indian in the Cupboard,"Adventure,Family,Fantasy"
Savages,"Crime,Drama,Thriller"
Cellular,"Action,Adventure,Crime,Thriller"
Johnny English,"Adventure,Action,Comedy"
The Ant Bully,"Fantasy,Adventure,Animation,Comedy,Family"
Dune,"Action,Science Fiction,Adventure"
Across the Universe,"Adventure,Drama,Music,Romance"
Revolutionary Road,"Drama,Romance"
16 Blocks,"Action,Adventure,Crime,Thriller"
Babylon A.D.,"Action,Adventure,Science Fiction,Thriller"
The Glimmer Man,"Action,Adventure,Crime,Drama,Thriller"
Multiplicity,"Comedy,Fantasy,Science Fiction"
Aliens in the Attic,"Adventure,Comedy,Family,Fantasy,Science Fiction"
The Pledge,"Crime,Drama,Mystery,Thriller"
The Producers,"Comedy,Music"
The Phantom,"Adventure,Action"
All the Pretty Horses,"Drama,Romance,Western"
Nixon,"History,Drama"
The Ghost Writer,"Thriller,Mystery"
Deep Rising,"Adventure,Action,Horror,Science Fiction"
Miracle at St. Anna,"Drama,War"
Curse of the Golden Flower,"Action,Drama,Fantasy"
Bangkok Dangerous,"Action,Crime,Thriller"
Big Trouble,"Action,Comedy,Thriller"
Love in the Time of Cholera,"Drama,Romance"
Shadow Conspiracy,"Action,Thriller"
Johnny English Reborn,"Crime,Adventure,Action,Comedy,Thriller"
Foodfight!,"Animation,Action,Comedy,Family"
Argo,"Drama,Thriller"
The Fugitive,"Adventure,Action,Thriller,Crime,Mystery"
The Bounty Hunter,"A,c,t,i,o,n"
Sleepers,"Crime,Drama,Thriller"
Rambo: First Blood Part II,"Action,Adventure,Thriller,War"
The Juror,"Drama,Thriller"
Pinocchio,"Animation,Family"
Heaven's Gate,"Action,Drama,History,Western"
Underworld: Evolution,"Fantasy,Action,Science Fiction,Thriller"
Victor Frankenstein,"Drama,Science Fiction,Thriller"
Finding Forrester,"D,r,a,m,a"
28 Days,"Comedy,Drama"
Unleashed,"Action,Crime"
The Sweetest Thing,"Romance,Comedy"
The Firm,"Drama,Mystery,Thriller"
Charlie St. Cloud,"D,r,a,m,a"
The Mechanic,"Action,Thriller,Crime"
21 Jump Street,"Action,Comedy,Crime"
Notting Hill,"Romance,Comedy,Drama"
Chicken Run,"Animation,Comedy,Family"
Along Came Polly,"Comedy,Romance"
Boomerang,"Comedy,Romance"
The Heat,"Action,Comedy,Crime"
Cleopatra,"Drama,History,Romance"
Here Comes the Boom,"C,o,m,e,d,y"
High Crimes,"Drama,Mystery,Thriller,Crime"
The Mirror Has Two Faces,"Comedy,Drama,Romance"
The Mothman Prophecies,"Drama,Horror,Mystery"
Brüno,"C,o,m,e,d,y"
Licence to Kill,"Adventure,Action,Thriller"
Red Riding Hood,"Fantasy,Thriller,Horror"
15 Minutes,"Action,Crime,Thriller"
Super Mario Bros.,"Adventure,Comedy,Family,Fantasy"
Lord of War,"Crime,Drama,Thriller"
Hero,"Drama,Adventure,Action,History"
One for the Money,"Action,Comedy,Crime"
The Interview,"Action,Comedy"
The Warrior's Way,"Adventure,Fantasy,Action,Western,Thriller"
Micmacs,"Action,Comedy,Crime"
8 Mile,"D,r,a,m,a"
Why I Did (Not) Eat My Father,"Adventure,Comedy,Animation"
A Knight's Tale,"Adventure,Drama,Romance,Action"
The Medallion,"Thriller,Fantasy,Action,Comedy"
The Sixth Sense,"Mystery,Thriller,Drama"
Man on a Ledge,"Action,Thriller,Crime"
The Big Year,"C,o,m,e,d,y"
The Karate Kid,"D,r,a,m,a"
American Hustle,"Drama,Crime"
The Proposal,"Comedy,Romance,Drama"
Double Jeopardy,"Crime,Drama,Mystery,Thriller"
Back to the Future Part II,"Adventure,Comedy,Family,Science Fiction"
Lucy,"Action,Science Fiction"
Fifty Shades of Grey,"Drama,Romance,Thriller"
Spy Kids 3-D: Game Over,"Action,Adventure,Comedy,Family,Science Fiction"
A Time to Kill,"Crime,Drama,Thriller"
Cheaper by the Dozen,"C,o,m,e,d,y"
Lone Survivor,"Action,Drama,Thriller,War"
A League of Their Own,"C,o,m,e,d,y"
The Conjuring 2,"H,o,r,r,o,r"
The Social Network,"D,r,a,m,a"
He's Just Not That Into You,"Comedy,Romance,Drama"
Scary Movie 4,"C,o,m,e,d,y"
Scream 3,"Horror,Mystery"
Back to the Future Part III,"Adventure,Comedy,Family,Science Fiction"
Get Hard,"C,o,m,e,d,y"
Dracula,"Romance,Horror"
Julie & Julia,"Romance,Drama"
42,"D,r,a,m,a"
The Talented Mr. Ripley,"Thriller,Crime,Drama"
Dumb and Dumber To,"C,o,m,e,d,y"
Eight Below,"Adventure,Drama,Family"
The Intern,"C,o,m,e,d,y"
Ride Along 2,"Action,Comedy"
The Last of the Mohicans,"Action,Adventure,Drama,History,Romance,War"
Ray,"Drama,Music"
Sin City,"Action,Thriller,Crime"
Vantage Point,"Drama,Action,Thriller,Crime"
"I Love You, Man","C,o,m,e,d,y"
Shallow Hal,"Comedy,Romance"
JFK,"Drama,Thriller,History"
Big Momma's House 2,"Comedy,Crime"
The Mexican,"Action,Comedy,Crime,Romance"
17 Again,"C,o,m,e,d,y"
The Other Woman,"Comedy,Romance"
The Final Destination,"Horror,Mystery"
Bridge of Spies,"Thriller,Drama"
Behind Enemy Lines,"Action,Drama,Thriller,War"
Get Him to the Greek,"C,o,m,e,d,y"
Shall We Dance?,"Drama,Romance,Comedy"
Small Soldiers,"Comedy,Adventure,Fantasy,Science Fiction,Action"
Spawn,"Action,Adventure,Fantasy,Horror,Science Fiction,Thriller"
The Count of Monte Cristo,"Action,Adventure,Drama,Thriller"
The Lincoln Lawyer,"Crime,Drama,Thriller"
Unknown,"Action,Mystery,Thriller"
The Prestige,"Drama,Mystery,Thriller"
Horrible Bosses 2,"C,o,m,e,d,y"
Escape from Planet Earth,"Animation,Comedy,Adventure,Family,Science Fiction"
Apocalypto,"Action,Adventure,Drama,Thriller"
The Living Daylights,"Action,Adventure,Thriller"
Predators,"Action,Science Fiction,Adventure,Thriller"
Legal Eagles,"Comedy,Crime,Drama,Romance,Thriller"
Secret Window,"Thriller,Mystery"
The Lake House,"Romance,Drama,Mystery"
The Skeleton Key,"Drama,Horror,Mystery,Thriller"
The Odd Life of Timothy Green,"Fantasy,Drama,Comedy,Family"
Made of Honor,"Comedy,Romance"
Jersey Boys,"Music,Drama"
The Rainmaker,"Drama,Crime,Thriller"
Gothika,"Horror,Thriller"
Amistad,"Drama,History,Mystery"
Medicine Man,"A,d,v,e,n,t,u,r,e"
Aliens vs Predator: Requiem,"Fantasy,Action,Science Fiction,Thriller,Horror"
Ri¢hie Ri¢h,"Comedy,Family"
Autumn in New York,"Drama,Romance"
Music and Lyrics,"Comedy,Music,Romance"
Paul,"Adventure,Comedy,Science Fiction"
The Guilt Trip,"C,o,m,e,d,y"
Scream 4,"Horror,Mystery"
8MM,"Thriller,Crime,Mystery"
The Doors,"Drama,Music"
Sex Tape,"C,o,m,e,d,y"
Hanging Up,"Comedy,Drama"
Final Destination 5,"Horror,Mystery"
Mickey Blue Eyes,"Comedy,Crime,Romance"
Pay It Forward,"Drama,Romance"
Fever Pitch,"Comedy,Drama,Romance"
Drillbit Taylor,"C,o,m,e,d,y"
A Million Ways to Die in the West,"Comedy,Western"
The Shadow,"Adventure,Fantasy,Action,Thriller,Science Fiction"
Extremely Loud & Incredibly Close,"D,r,a,m,a"
Morning Glory,"Comedy,Drama,Romance"
Get Rich or Die Tryin',"D,r,a,m,a"
The Art of War,"Crime,Action,Adventure"
Rent,"Drama,Romance"
Bless the Child,"Drama,Horror,Thriller,Crime"
The Out-of-Towners,"C,o,m,e,d,y"
The Island of Dr. Moreau,"Fantasy,Horror,Science Fiction"
The Musketeer,"Action,Adventure,Drama"
The Other Boleyn Girl,"D,r,a,m,a"
Sweet November,"Drama,Romance"
The Reaping,"H,o,r,r,o,r"
Mean Streets,"Drama,Crime"
Renaissance Man,"Comedy,War"
Colombiana,"Action,Thriller,Crime,Drama"
Quest for Camelot,"Fantasy,Animation,Drama,Romance,Family"
City By The Sea,"Crime,Drama,Mystery"
At First Sight,"Drama,Romance"
Torque,"A,c,t,i,o,n"
City Hall,"Drama,Thriller"
Showgirls,"D,r,a,m,a"
Marie Antoinette,"Drama,History"
Kiss of Death,"Action,Crime,Drama,Thriller"
Get Carter,"Action,Drama,Thriller,Crime"
The Impossible,"Thriller,Drama"
Ishtar,"Action,Adventure,Comedy"
Fantastic Mr. Fox,"Adventure,Animation,Comedy,Family"
Life or Something Like It,"Comedy,Drama,Romance"
Memoirs of an Invisible Man,"Comedy,Fantasy,Science Fiction"
Amélie,"Comedy,Romance"
New York Minute,"C,o,m,e,d,y"
Alfie,"C,o,m,e,d,y"
Big Miracle,"Adventure,Drama,Romance"
The Deep End of the Ocean,"Drama,Mystery"
FearDotCom,"Horror,Thriller"
Cirque du Freak: The Vampire's Assistant,"Adventure,Fantasy,Action,Thriller"
Duplex,"Action,Comedy,Thriller"
Soul Men,"Comedy,Music"
Raise the Titanic,"Action,Drama,Thriller"
Universal Soldier: The Return,"Action,Science Fiction"
Pandorum,"Action,Horror,Mystery,Science Fiction,Thriller"
Impostor,"Action,Science Fiction,Thriller"
Extreme Ops,"Action,Adventure,Drama,Thriller"
Just Visiting,"Comedy,Fantasy,Science Fiction"
Sunshine,"Science Fiction,Thriller"
A Thousand Words,"Drama,Comedy"
Delgo,"Adventure,Fantasy,Animation,Comedy,Science Fiction,Family"
The Gunman,"Action,Drama,Crime"
Stormbreaker,"Adventure,Action,Family"
Disturbia,"Thriller,Drama,Mystery"
Hackers,"Action,Crime,Thriller,Drama"
The Hunting Party,"Action,Adventure,Thriller,Drama"
The Hudsucker Proxy,"Comedy,Drama"
The Warlords,"Action,Drama,History"
Nomad: The Warrior,"Action,History,War"
Snowpiercer,"Action,Science Fiction,Drama"
A Monster in Paris,"Adventure,Animation,Comedy,Family,Fantasy"
The Last Shot,"Action,Comedy"
The Crow,"Fantasy,Action,Thriller"
Baahubali: The Beginning,"Action,Adventure,War,History"
The Time Traveler's Wife,"Drama,Romance,Fantasy"
Because I Said So,"C,o,m,e,d,y"
Frankenweenie,"Animation,Comedy,Family"
Serenity,"Science Fiction,Action,Adventure,Thriller"
Against the Ropes,"Romance,Drama"
Superman III,"Comedy,Action,Adventure,Fantasy,Science Fiction"
Grudge Match,"C,o,m,e,d,y"
Red Cliff,"Adventure,Drama,Action"
Sweet Home Alabama,"Comedy,Romance"
The Ugly Truth,"Comedy,Romance"
Sgt. Bilko,"Comedy,Family"
Spy Kids 2: The Island of Lost Dreams,"Action,Adventure,Family"
Star Trek: Generations,"Science Fiction,Action,Adventure,Thriller"
The Grandmaster,"Action,Drama,History"
Water for Elephants,"Drama,Romance"
Dragon Nest: Warriors' Dawn,"Adventure,Family,Fantasy,Animation"
The Hurricane,"D,r,a,m,a"
Enough,"Drama,Thriller"
Heartbreakers,"Crime,Comedy,Romance"
Paul Blart: Mall Cop 2,"Action,Comedy,Family"
Angel Eyes,"Drama,Romance,Thriller"
Joe Somebody,"C,o,m,e,d,y"
The Ninth Gate,"Horror,Mystery,Thriller"
Extreme Measures,"Drama,Thriller"
Rock Star,"Music,Drama,Comedy"
Precious,"D,r,a,m,a"
White Squall,"Action,Drama"
The Thing,"Horror,Mystery,Science Fiction"
Riddick,"Science Fiction,Action,Thriller"
Switchback,"Action,Adventure,Mystery,Thriller"
Texas Rangers,"Action,Western"
City of Ember,"Adventure,Family,Fantasy"
The Master,"D,r,a,m,a"
Virgin Territory,"Adventure,Action,Comedy,Romance"
The Express,"D,r,a,m,a"
The 5th Wave,"Adventure,Science Fiction"
Creed,"D,r,a,m,a"
The Town,"Crime,Drama,Thriller"
What to Expect When You're Expecting,"Romance,Comedy,Drama"
Burn After Reading,"Comedy,Drama"
Nim's Island,"Adventure,Comedy,Family,Fantasy"
Rush,"Drama,Action"
Magnolia,"D,r,a,m,a"
Cop Out,"Action,Comedy,Crime"
How to Be Single,"Comedy,Romance"
Dolphin Tale,"Drama,Family"
Twilight,"Adventure,Fantasy,Drama,Romance"
John Q,"Drama,Thriller,Crime"
Blue Streak,"Action,Comedy,Crime"
We're the Millers,"Comedy,Crime"
The Inhabited Island,"Action,Fantasy,Science Fiction,Thriller"
Breakdown,"Drama,Action,Thriller"
Never Say Never Again,"Adventure,Action,Thriller"
Hot Tub Time Machine,"Science Fiction,Comedy,Adventure"
Dolphin Tale 2,"Family,Drama"
Reindeer Games,"T,h,r,i,l,l,e,r"
A Man Apart,"Action,Drama"
Aloha,"Drama,Comedy,Romance"
Ghosts of Mississippi,"History,Drama"
Snow Falling on Cedars,"Drama,Romance"
The Rite,"Drama,Thriller,Horror"
Gattaca,"Thriller,Science Fiction,Mystery,Romance"
Isn't She Great,"Drama,Comedy"
Space Chimps,"Animation,Family"
Head of State,"C,o,m,e,d,y"
The Hangover,"C,o,m,e,d,y"
Ip Man 3,"Action,Drama,History"
Austin Powers: The Spy Who Shagged Me,"Adventure,Comedy,Crime,Science Fiction"
Batman,"Fantasy,Action"
There Be Dragons,"D,r,a,m,a"
Lethal Weapon 3,"Adventure,Action,Comedy,Thriller,Crime"
The Blind Side,"D,r,a,m,a"
Spy Kids,"Action,Comedy,Family,Adventure"
Horrible Bosses,"Comedy,Crime"
True Grit,"Drama,Adventure,Western"
The Devil Wears Prada,"Comedy,Drama,Romance"
Star Trek: The Motion Picture,"Science Fiction,Adventure,Mystery"
Identity Thief,"Comedy,Crime"
Cape Fear,"Crime,Thriller"
21,"Drama,Crime"
Trainwreck,"C,o,m,e,d,y"
Guess Who,"Comedy,Romance"
The English Patient,"Drama,Romance,War"
L.A. Confidential,"Crime,Drama,Mystery,Thriller"
Sky High,"Adventure,Comedy,Family"
In & Out,"Comedy,Romance"
Species,"Science Fiction,Horror,Action"
A Nightmare on Elm Street,"H,o,r,r,o,r"
The Cell,"Horror,Science Fiction,Thriller"
The Man in the Iron Mask,"Action,Adventure,Drama"
Secretariat,"D,r,a,m,a"
TMNT,"Adventure,Animation,Comedy,Family"
Radio,"D,r,a,m,a"
Friends with Benefits,"Romance,Comedy"
Neighbors 2: Sorority Rising,"C,o,m,e,d,y"
Saving Mr. Banks,"Comedy,Drama,History"
Malcolm X,"Drama,History"
This Is 40,"C,o,m,e,d,y"
Old Dogs,"Comedy,Family"
Underworld: Rise of the Lycans,"Fantasy,Action,Adventure,Science Fiction,Thriller"
License to Wed,"C,o,m,e,d,y"
The Benchwarmers,"C,o,m,e,d,y"
Must Love Dogs,"Comedy,Romance"
Donnie Brasco,"Crime,Drama,Thriller"
Resident Evil,"Horror,Action,Science Fiction"
Poltergeist,"H,o,r,r,o,r"
The Ladykillers,"Comedy,Crime,Thriller"
Max Payne,"A,c,t,i,o,n"
In Time,"Action,Thriller,Science Fiction"
The Back-Up Plan,"Comedy,Romance"
Something Borrowed,"Comedy,Drama,Romance"
Black Knight,"Adventure,Comedy,Fantasy"
The Bad News Bears,"Comedy,Family"
Street Fighter,"Action,Adventure,Thriller"
The Pianist,"Drama,War"
The Nativity Story,"Drama,History"
House of Wax,"H,o,r,r,o,r"
Closer,"Drama,Romance"
J. Edgar,"Drama,Crime,History"
Mirrors,"Horror,Mystery,Thriller"
Queen of the Damned,"Drama,Fantasy,Horror"
Predator 2,"Science Fiction,Action,Thriller"
Untraceable,"D,r,a,m,a"
Blast from the Past,"Comedy,Romance"
Flash Gordon,"S,c,i,e,n,c,e, ,F,i,c,t,i,o,n"
Jersey Girl,"Comedy,Romance"
Alex Cross,"Action,Thriller,Crime,Mystery"
Midnight in the Garden of Good and Evil,"Crime,Drama,Mystery,Thriller"
Heist,"Crime,Action,Thriller"
Nanny McPhee and the Big Bang,"Comedy,Fantasy"
Hoffa,"Crime,History"
The X Files: I Want to Believe,"Drama,Mystery,Science Fiction,Thriller"
Ella Enchanted,"Family,Fantasy,Comedy"
Concussion,"D,r,a,m,a"
Abduction,"Thriller,Action,Mystery"
Valiant,"Animation,Family,Adventure"
Wonder Boys,"Comedy,Drama"
Superhero Movie,"Action,Comedy,Science Fiction"
Broken City,"Thriller,Crime,Drama"
Cursed,"Horror,Comedy"
Premium Rush,"Crime,Action,Thriller"
Hot Pursuit,"Action,Comedy,Crime"
The Four Feathers,"War,Adventure,Drama,Romance"
Parker,"Action,Crime"
Wimbledon,"Comedy,Romance"
Furry Vengeance,"C,o,m,e,d,y"
Bait,"Action,Horror,Thriller"
Krull,"Fantasy,Action,Adventure"
Lions for Lambs,"Action,Adventure,Drama,History"
Flight of the Intruder,"Action,Adventure,Drama,Thriller"
Walk Hard: The Dewey Cox Story,"Comedy,Music"
The Shipping News,"Drama,Romance"
American Outlaws,"Action,Western"
The Young Victoria,"Drama,History,Romance"
Whiteout,"Action,Crime,Mystery,Thriller"
The Tree of Life,"Drama,Fantasy"
Knock Off,"Action,Adventure,Thriller"
Sabotage,"Action,Drama,Thriller,Crime"
The Order,"Drama,Fantasy,Horror,Mystery,Romance,Thriller"
Punisher: War Zone,"Action,Crime"
Zoom,"Family,Fantasy,Comedy"
The Walk,"Adventure,Drama,Thriller"
Warriors of Virtue,"Fantasy,Family,Action"
A Good Year,"Comedy,Drama,Romance"
Radio Flyer,"D,r,a,m,a"
Bound by Honor,"Action,Crime,Drama,Thriller"
Smilla's Sense of Snow,"Action,Crime,Drama,Mystery,Thriller"
Femme Fatale,"Thriller,Crime,Romance"
Lion of the Desert,"Action,History,War"
The Horseman on the Roof,"War,Adventure,Drama,Romance"
Ride with the Devil,"Drama,War,Romance,Western"
Biutiful,"D,r,a,m,a"
Bandidas,"Action,Comedy,Western,Crime"
Black Water Transit,"Drama,Crime"
The Maze Runner,"Action,Mystery,Science Fiction,Thriller"
Unfinished Business,"C,o,m,e,d,y"
The Age of Innocence,"Drama,Romance"
The Fountain,"Drama,Adventure,Science Fiction,Romance"
Chill Factor,"Action,Comedy,Thriller"
Stolen,"Action,Crime,Drama,Thriller"
Ponyo,"Animation,Family"
The Longest Ride,"Drama,Romance"
The Astronaut's Wife,"Drama,Science Fiction,Thriller"
I Dreamed of Africa,"Romance,Drama,Adventure"
Playing for Keeps,"Comedy,Romance"
Mandela: Long Walk to Freedom,"Drama,History"
Reds,"Drama,History"
A Few Good Men,"D,r,a,m,a"
Exit Wounds,"Action,Crime,Thriller"
Big Momma's House,"Crime,Comedy"
Thunder and the House of Magic,"Family,Fantasy,Animation,Adventure"
The Darkest Hour,"Horror,Action,Thriller,Science Fiction"
Step Up Revolution,"Music,Drama,Romance"
Snakes on a Plane,"Action,Crime,Horror,Thriller"
The Watcher,"Mystery,Thriller"
The Punisher,"Action,Crime,Drama"
Goal!: The Dream Begins,"D,r,a,m,a"
Safe,"Action,Crime,Thriller"
Pushing Tin,"Comedy,Drama"
Return of the Jedi,"Adventure,Action,Science Fiction"
Doomsday,"Action,Thriller,Science Fiction"
The Reader,"Drama,Romance"
Wanderlust,"C,o,m,e,d,y"
Elf,"Comedy,Family,Fantasy"
Phenomenon,"Drama,Fantasy,Romance,Science Fiction"
Snow Dogs,"Adventure,Comedy,Family"
Scrooged,"Fantasy,Comedy,Drama"
Nacho Libre,"Comedy,Family"
Bridesmaids,"Comedy,Romance"
This Is the End,"Action,Comedy"
Stigmata,"H,o,r,r,o,r"
Men of Honor,"D,r,a,m,a"
Takers,"Action,Crime,Drama,Thriller"
The Big Wedding,"C,o,m,e,d,y"
"Big Mommas: Like Father, Like Son","Crime,Comedy,Action"
Source Code,"Thriller,Science Fiction,Mystery"
Alive,"Action,Adventure,Drama,Thriller"
The Number 23,"Thriller,Drama,Mystery"
The Young and Prodigious T.S. Spivet,"Adventure,Drama,Family"
1941,"Action,Comedy"
Dreamer: Inspired By a True Story,"Drama,Family"
A History of Violence,"Drama,Thriller,Crime"
Transporter 2,"Action,Thriller,Crime"
The Quick and the Dead,"Action,Western"
Laws of Attraction,"Action,Comedy,Romance,Thriller"
Bringing Out the Dead,"D,r,a,m,a"
Repo Men,"Action,Science Fiction,Thriller,Crime"
Dragon Wars: D-War,"Fantasy,Drama,Horror,Action,Thriller,Science Fiction"
Bogus,"Fantasy,Comedy,Family"
The Incredible Burt Wonderstone,"C,o,m,e,d,y"
Cats Don't Dance,"Animation,Comedy,Family,Music"
Cradle Will Rock,"D,r,a,m,a"
The Good German,"War,Crime,Drama,Mystery,Romance,Thriller"
George and the Dragon,"A,d,v,e,n,t,u,r,e"
Apocalypse Now,"Drama,War"
Going the Distance,"Comedy,Drama,Romance"
Mr. Holland's Opus,"Music,Drama,Family"
Criminal,"A,c,t,i,o,n"
Out of Africa,"D,r,a,m,a"
Flight,"D,r,a,m,a"
Moonraker,"Action,Adventure,Thriller,Science Fiction"
The Grand Budapest Hotel,"Comedy,Drama"
Hearts in Atlantis,"Drama,Mystery"
Arachnophobia,"Comedy,Horror"
Frequency,"Crime,Drama,Science Fiction,Thriller"
Vacation,"C,o,m,e,d,y"
Get Shorty,"Comedy,Thriller,Crime"
Chicago,"Action,Comedy,Crime,Drama,Music"
Big Daddy,"Comedy,Drama"
American Pie 2,"Comedy,Romance"
Toy Story,"Animation,Comedy,Family"
Speed,"Action,Adventure,Crime"
The Vow,"Drama,Romance"
Extraordinary Measures,"D,r,a,m,a"
Remember the Titans,"D,r,a,m,a"
The Hunt for Red October,"Action,Adventure,Thriller"
The Butler,"D,r,a,m,a"
DodgeBall: A True Underdog Story,"C,o,m,e,d,y"
The Addams Family,"Horror,Comedy,Fantasy"
Ace Ventura: When Nature Calls,"Crime,Comedy,Adventure"
The Princess Diaries,"Comedy,Family,Romance"
The First Wives Club,"C,o,m,e,d,y"
Se7en,"Crime,Mystery,Thriller"
District 9,"S,c,i,e,n,c,e, ,F,i,c,t,i,o,n"
The SpongeBob SquarePants Movie,"Animation,Comedy,Family"
Mystic River,"Thriller,Crime,Drama,Mystery"
Million Dollar Baby,"D,r,a,m,a"
Analyze This,"Comedy,Crime"
The Notebook,"Romance,Drama"
27 Dresses,"Comedy,Romance"
Hannah Montana: The Movie,"Comedy,Drama,Family,Music,Romance"
Rugrats in Paris: The Movie,"Adventure,Animation,Comedy,Family"
The Prince of Tides,"Drama,Romance"
Legends of the Fall,"Adventure,Drama,Romance,War"
Up in the Air,"Drama,Romance"
About Schmidt,"Drama,Comedy"
Warm Bodies,"Horror,Comedy,Romance"
Looper,"Action,Thriller,Science Fiction"
Down to Earth,"Fantasy,Comedy,Science Fiction,Romance"
Babe,"Fantasy,Drama,Comedy,Family"
Hope Springs,"Drama,Comedy,Romance"
Forgetting Sarah Marshall,"Comedy,Romance,Drama"
Four Brothers,"Action,Crime"
Baby Mama,"C,o,m,e,d,y"
Hope Floats,"Drama,Romance"
Bride Wars,"C,o,m,e,d,y"
Without a Paddle,"Action,Adventure,Comedy,Thriller"
13 Going on 30,"Comedy,Fantasy,Romance"
Midnight in Paris,"Fantasy,Comedy,Romance"
The Nut Job,"Animation,Comedy,Family,Adventure"
Blow,"Crime,Drama"
Message in a Bottle,"Romance,Drama"
Star Trek V: The Final Frontier,"Science Fiction,Action,Adventure,Thriller"
Like Mike,"Comedy,Drama,Family,Fantasy"
The Naked Gun 33⅓: The Final Insult,"Comedy,Crime"
A View to a Kill,"Adventure,Action,Thriller"
The Curse of the Were-Rabbit,"Adventure,Animation,Comedy,Family"
P.S. I Love You,"Drama,Romance"
Racing Stripes,"C,o,m,e,d,y"
Atonement,"Drama,Romance"
Letters to Juliet,"Comedy,Drama,Romance"
Black Rain,"Action,Thriller,Crime"
The Three Stooges,"C,o,m,e,d,y"
Corpse Bride,"Romance,Fantasy,Animation,Music"
Glory Road,"D,r,a,m,a"
Sicario,"Action,Crime,Drama,Mystery,Thriller"
Southpaw,"Action,Drama"
Drag Me to Hell,"Horror,Thriller"
The Age of Adaline,"Fantasy,Drama,Romance"
Secondhand Lions,"Comedy,Drama,Family"
Step Up 3D,"Drama,Romance"
Blue Crush,"A,d,v,e,n,t,u,r,e"
Stranger Than Fiction,"Comedy,Drama,Fantasy,Romance"
30 Days of Night,"Horror,Thriller"
The Cabin in the Woods,"Horror,Thriller"
Meet the Spartans,"C,o,m,e,d,y"
Midnight Run,"Adventure,Comedy,Crime"
The Running Man,"Action,Science Fiction"
Little Shop of Horrors,"Horror,Comedy,Music"
Hanna,"Action,Thriller,Adventure"
Mortal Kombat: Annihilation,"Action,Fantasy,Science Fiction"
Larry Crowne,"Comedy,Romance,Drama"
Carrie,"Drama,Horror"
Take the Lead,"M,u,s,i,c"
Gridiron Gang,"Action,Adventure,Crime,Drama"
What's the Worst That Could Happen?,"Action,Comedy"
9,"Action,Adventure,Animation,Science Fiction,Thriller"
Side Effects,"Thriller,Crime,Drama"
The Prince & Me,"Comedy,Romance"
Winnie the Pooh,"Animation,Family"
Dumb and Dumberer: When Harry Met Lloyd,"C,o,m,e,d,y"
Bulworth,"Comedy,Drama"
Get on Up,"Drama,Music"
One True Thing,"Drama,Romance"
Virtuosity,"Action,Crime,Science Fiction,Thriller"
My Super Ex-Girlfriend,"Fantasy,Drama,Action,Comedy,Crime,Science Fiction"
Deliver Us from Evil,"Thriller,Crime,Horror"
Sanctum,"Action,Thriller"
Little Black Book,"Comedy,Romance,Drama"
The Five-Year Engagement,"C,o,m,e,d,y"
Mr. 3000,"Comedy,Drama"
The Next Three Days,"Romance,Drama,Thriller,Crime"
Ultraviolet,"Science Fiction,Action,Thriller"
Assault on Precinct 13,"T,h,r,i,l,l,e,r"
The Replacement Killers,"Action,Drama,Crime,Thriller"
Fled,"Action,Comedy,Thriller"
Eight Legged Freaks,"Action,Comedy,Horror,Thriller"
Love & Other Drugs,"Drama,Comedy,Romance"
88 Minutes,"Crime,Mystery,Thriller"
North Country,"D,r,a,m,a"
The Whole Ten Yards,"Comedy,Thriller,Crime"
Splice,"Horror,Thriller,Science Fiction"
Howard the Duck,"Comedy,Fantasy,Science Fiction"
Pride and Glory,"Thriller,Crime,Drama"
The Cave,"Action,Adventure,Horror,Thriller"
Alex & Emma,"Comedy,Romance"
